戯作	名詞	普通名詞	一般	*	*	*	ゲサク	戯作	戯作	ゲサク	ゲサク	漢	戯作	ゲサク	ゲサク	ゲサク	*	*	*	*	*	*	0	C2	*
三昧	名詞	普通名詞	一般	*	*	*	サンマイ	三昧	三昧	サンマイ	サンマイ	外	三昧	サンマイ	サンマイ	サンマイ	サ濁	基本形	*	*	*	*	0	C2	*
芥川	名詞	固有名詞	人名	姓	*	*	アクタガワ	アクタガワ	芥川	アクタガワ	アクタガワ	固	芥川	アクタガワ	アクタガワ	アクタガワ	*	*	*	*	*	*	3	*	*
龍之介	名詞	固有名詞	人名	名	*	*	リュウノスケ	リュウノスケ	龍之介	リューノスケ	リュウノスケ	固	龍之介	リューノスケ	リュウノスケ	リュウノスケ	*	*	*	*	*	*	0	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
天保	名詞	固有名詞	一般	*	*	*	テンポウ	天保	天保	テンポー	テンポウ	固	天保	テンポー	テンポウ	テンポウ	*	*	*	*	*	*	0	*	*
二	名詞	数詞	*	*	*	*	ニ	二	二	ニ	ニ	漢	二	ニ	ニ	ニ	*	*	*	イ長添	基本形	*	1	C3	*
年	名詞	普通名詞	助数詞可能	*	*	*	ネン	年	年	ネン	ネン	漢	年	ネン	ネン	ネン	*	*	*	*	*	B4WW7G9G	1	C3	*
九	名詞	数詞	*	*	*	*	キュウ	九	九	キュー	キュウ	漢	九	キュー	キュウ	キュウ	*	*	*	*	*	*	1	C3	*
月	名詞	普通名詞	助数詞可能	*	*	*	ガツ	月	月	ガツ	ガツ	漢	月	ガツ	ガツ	ガツ	*	*	*	ツ促	基本形	B4G7G9G	1	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
或	連体詞	*	*	*	*	*	アル	或る	或	アル	アル	和	或	アル	アル	アル	*	*	*	*	*	*	1	*	*
午前	名詞	普通名詞	副詞可能	*	*	*	ゴゼン	午前	午前	ゴゼン	ゴゼン	漢	午前	ゴゼン	ゴゼン	ゴゼン	*	*	*	*	*	*	1	C1	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
ある	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	アル	有る	ある	アル	アル	和	ある	アル	アル	アル	*	*	*	*	*	*	1	C3	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
神田	名詞	固有名詞	地名	一般	*	*	カンダ	カンダ	神田	カンダ	カンダ	固	神田	カンダ	カンダ	カンダ	*	*	*	*	*	*	0	*	*
同朋	名詞	普通名詞	一般	*	*	*	ドウホウ	同朋	同朋	ドーホー	ドウホウ	漢	同朋	ドーホー	ドウホウ	ドウホウ	*	*	*	*	*	*	0	C2	*
町	名詞	普通名詞	助数詞可能	*	*	*	チョウ	町	町	チョー	チョウ	漢	町	チョー	チョウ	チョウ	*	*	*	*	*	B1S8SjS	1	C3	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
かん	代名詞	*	*	*	*	*	カ	彼	かん	カン	カン	和	かん	カン	カン	カン	*	*	*	*	*	*	1	*	*
だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	ダ	だ	だ	ダ	ダ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
どう	副詞	*	*	*	*	*	ドウ	どう	どう	ドー	ドウ	和	どう	ドー	ドウ	ドウ	*	*	*	*	*	*	1	*	*
ぼう	副詞	*	*	*	*	*	ボー	ぼー	ぼう	ボー	ボウ	和	ぼう	ボー	ボウ	ボー	*	*	*	*	*	*	0	*	*
ちやう	助動詞	*	*	*	五段-ワア行	終止形-一般	チャウ	ちゃう	ちやう	チャウ	チヤウ	和	ちやう	チャウ	チヤウ	チャウ	*	*	*	*	*	*	*	動詞%F1	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
銭湯	名詞	普通名詞	一般	*	*	*	セントウ	銭湯	銭湯	セントー	セントウ	漢	銭湯	セントー	セントウ	セントウ	*	*	*	*	*	*	1	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
せ	動詞	非自立可能	*	*	文語サ行変格	未然形-一般	スル	為る	せ	セ	セ	和	す	ス	ス	ス	*	*	*	*	*	*	1	C4	*
ん	助動詞	*	*	*	文語助動詞-ム	連体形-撥音便	ム	む	ん	ン	ン	和	む	ム	ム	ム	*	*	*	*	*	*	*	動詞%F4@0	*
たう	名詞	普通名詞	一般	*	*	*	トウ	塔	たう	トー	タウ	漢	たう	トー	タウ	トウ	*	*	*	*	*	*	1	C3	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
松	名詞	普通名詞	一般	*	*	*	マツ	松	松	マツ	マツ	和	松	マツ	マツ	マツ	*	*	*	*	*	*	1	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
湯	名詞	普通名詞	一般	*	*	*	ユ	湯	湯	ユ	ユ	和	湯	ユ	ユ	ユ	*	*	*	*	*	*	1	C3	*
で	助動詞	*	*	*	助動詞-ダ	連用形-一般	ダ	だ	で	デ	デ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
